Response ID,2024 Anime of the Year [ - Frieren: Beyond Journey’s End / Sousou no Frieren],2024 Anime of the Year [ - Dan Da Dan],2024 Anime of the Year [ - Delicious in Dungeon / Dungeon Meshi],2024 Anime of the Year [ - Oshi no Ko Season 2],2024 Anime of the Year [ - Brave Bang Bravern! / Yuuki Bakuhatsu Bang Bravern],Best Comedy [ - Konosuba Season 3],Best Comedy [ - My Deer Friend Nokotan / Shikanoko Nokonoko Koshitantan],Best Comedy [ - Brave Bang Bravern! / Yuuki Bakuhatsu Bang Bravern],Best Comedy [ - Dan Da Dan],Best Comedy [ - Delicious in Dungeon / Dungeon Meshi],Best Action [ - Dan Da Dan],Best Action [ - Kaiju No. 8 / Kaijuu 8-gou],Best Action [ - Solo Levling / Ore dake Level Up na Ken],Best Action [ - Shangri-La Frontier (both Season 1 and Season 2 have aired episodes in 2024)],Best Action [ - NieR:Automata Ver1.1a Season 2],Best Fantasy [ - Delicious in Dungeon / Dungeon Meshi],Best Fantasy [ - Frieren: Beyond Journey's End / Sousou no Frieren],Best Fantasy [ - Mushoku Tensei: Jobless Reincarnation Season 2 Part 2 / Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2],Best Fantasy [ - Re:ZERO -Starting Life in Another World- Season 3 / Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season],Best Fantasy [ - Konosuba Season 3],Best Romance [ - Makeine: Too Many Losing Heroines! / Make Heroine ga Oosugiru!],Best Romance [ - The Dangers in My Heart Season 2 / Boku no Kokoro no Yabai Yatsu 2nd Season],Best Romance [ - Spice and Wolf: MERCHANT MEETS THE WISE WOLF / Ookami to Koushinryou: MERCHANT MEETS THE WISE WOLF],Best Romance [ - Pseudo Harem / Giji Harem],Best Romance [ - Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?! / 30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii],Best Slice of Life [ - Laid-Back Camp Season 3 / Yuru Camp△ SEASON 3],Best Slice of Life [ - Jellyfish Can’t Swim in the Night / Yoru no Kurage wa Oyogenai],"Best Slice of Life [ - 'Tis Time for ""Torture,"" Princess / Hime-sama, ""Goumon"" no Jikan desu]",Best Slice of Life [ - Tonari no Yokai-san],Best Slice of Life [ - Frieren: Beyond Journey’s End / Sousou no Frieren],Best Drama [ - Oshi no Ko Season 2],Best Drama [ - The Apothecary Diaries / Kusuriya no Hitorigoto],Best Drama [ - Look Back],Best Drama [ - Jellyfish Can’t Swim in the Night / Yoru no Kurage wa Oyogenai],Best Drama [ - MONOGATARI Series: OFF &amp; MONSTER Season],Best Suspense [ - Oshi no Ko Season 2],Best Suspense [ - The Apothecary Diaries / Kusuriya no Hitorigoto],Best Suspense [ - Orb: On the Movements of the Earth / Chi.: Chikyuu no Undou ni Tsuite],Best Suspense [ - BLUE LOCK Season 2],Best Suspense [ - SHOSHIMIN: How to Become Ordinary],Best Animation [ - Frieren: Beyond Journey’s End / Sousou no Frieren],Best Animation [ - Dan Da Dan],Best Animation [ - Oshi no Ko Season 2],Best Animation [ - Delicous in Dungeon / Dungeon Meshi],Best Animation [ - Makeine: Too Many Losing Heroines! / Make Heroine ga Oosugiru!],Best Soundtrack [ - Frieren: Beyond Journey’s End / Sousou no Frieren],Best Soundtrack [ - Oshi no Ko Season 2],Best Soundtrack [ - NieR:Automata Ver1.1a Season 2],Best Soundtrack [ - Kaiju No.8 / Kaijuu 8-gou],Best Soundtrack [ - MF Ghost Season 2],"Best Opening or Ending Sequence (OP/ED) [""Otonoke"" by Creepy Nuts for the Dan Da Dan OP]","Best Opening or Ending Sequence (OP/ED) [""Baban to Suisan! Bang Bravern"" as the Brave Bang Bravern! OP]","Best Opening or Ending Sequence (OP/ED) [""Abyss"" by YUNGBLUD as the Kaiju No. 8 OP]","Best Opening or Ending Sequence (OP/ED) [""Shika-iro Days"" as the My Deer Friend Nokotan OP]","Best Opening or Ending Sequence (OP/ED) [""Rouge"" by YU-KA as the Metallic Rouge OP]",Best Voice Acting [Fuuka Izumi as Utena Hiiragi in Gushing Over Magical Girls (Japanese)],Best Voice Acting [Atsumi Tanezaki as Frieren in Frieren: Beyond Journey's End (Japanese)],Best Voice Acting [Aleks Le as Sung Jinwoo in Solo Levling (English)],Best Voice Acting [Saori Hayami as Rin Nanakura in Pseudo Harem (Japanese)],Best Voice Acting [Fairouz Ai as Yumiella Dolkness in Villainess Level 99 (Japanese)],Best Character [ - Frieren from Frieren: Beyond Journey's End / Sousou no Frieren],Best Character [ - Maomao from The Apothecary Diaries / Kusuriya no Hitorigoto],Best Character [ - Bravern from Brave Bang Bravern! / Yuuki Bakuhatsu Bang Bravern],Best Character [ - Utena Hiiragi from Gushing Over Magical Girls / Mahou Shoujo ni Akogarete],Best Character [ - Anna Yanami from Makeine: Too Many Losing Heroines! / Make Heroine ga Oosugiru!],Best Duo: Romantic or Otherwise [ &amp; Momo Ayase &amp; Ken Takakura (Okarun) from Dan Da Dan],Best Duo: Romantic or Otherwise [ &amp; Holo &amp; Kraft Lawrence from Spice and Wolf: MERCHANT MEETS THE WISE WOLF ],Best Duo: Romantic or Otherwise [ &amp; Bravern &amp; Isami Ao from Brave Bang Bravern!],Best Duo: Romantic or Otherwise [ &amp; 2B &amp; 9S from NieR:Automata Ver1.1a Season 2],Best Duo: Romantic or Otherwise [ &amp; Ayumu Fujino &amp; Kyomoto from Look Back]
34,5,,3,,,,3,,,4,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,
37,5,4,4,1,0,0,3,0,5,5,5,3,3,0,1,4,5,1,0,0,4,0,5,0,0,3,2,0,3,5,0,5,0,2,0,0,5,1,0,0,4,4,2,5,2,5,2,,,,5,1,2,1,0,0,5,0,0,0,5,4,0,0,2,5,4,0,2,0
41,5,4,4,3,4,4,1,3,5,4,5,4,3,2,3,4,5,2,3,2,4,3,4,3,3,3,4,2,3,5,3,3,3,3,3,3,3,3,3,3,5,4,3,4,3,5,3,3,3,3,3,5,3,3,3,3,5,3,3,3,5,3,4,4,3,5,3,4,1,3
42,3,3,5,2,,5,2,,2,3,4,4,4,4,4,5,4,4,3,2,,,,,,,,,,,,4,4,3,,,4,4,,,5,3,1,3,4,,,5,,,5,,,3,4,,,,,,,,,,,4,4,,5,5
47,,,,,5,,,5,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,5,5,,,,,,,5,4,,,,5,,
50,5,4,,,,4,,,5,,4,,5,,,,5,3,4,3,,,,,,,,,,5,,,,,,,,,,,5,4,,,,5,,,,,,,,,,,,,,,5,,,,,4,,,,
57,4,3,5,2,1,3,4,5,2,1,5,1,3,4,2,3,5,1,4,4,,,,,,5,1,4,5,1,5,3,0,1,0,5,,4,5,3,3,5,4,4,,,,,,,5,,,,,5,,,,5,5,,5,5,,,,,,
58,5,,5,,,,5,,,5,,,,,,5,5,,,,,,,,,5,,4,,5,,,,,,,,,,,4,,,5,,4,,,,5,4,,,5,,,5,,,,5,,,,,,,,,
63,4,3,3,5,,5,3,,4,4,5,,3,,,4,5,4,4,4,5,,5,5,,,,,,5,5,4,4,,,5,4,4,,,5,4,5,4,4,4,5,,,,4,,,4,,,,,,,,,,,,,,,,
66,5,2,3,0,,5,4,,3,2,3,5,,,,3,5,4,,4,5,,,,,,,,,5,1,5,,,,1,5,5,,,3,3,3,3,3,5,4,,3,,,,,,,,,,,,5,5,,3,3,4,,,,
71,4,5,,,4,,5,3,4,,4,5,0,,,,,,,,,,,,,,,,,5,,,,,,,,,0,,4,5,,,,,,,5,,5,4,4,5,,,,,,,,,5,,,4,,5,,
72,5,4,4,0,0,2,3,0,4,4,4,3,3,2,0,4,5,5,5,2,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,0,0,4,3,0,3,0,5,0,0,2,0,4,0,0,5,0,0,5,2,0,4,5,4,0,0,0,4,0,0,0,0
73,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,
74,5,0,3,0,0,5,0,0,0,3,0,0,0,0,5,4,5,0,4,3,0,0,5,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,5,0
75,5,2,3,4,4,4,3,5,1,1,3,,,,,5,5,,,3,,,2,5,,,,4,5,2,5,3,4,,,3,4,5,,,4,3,5,4,,3,2,,,5,3,5,2,3,4,1,3,,5,4,3,4,5,3,,2,3,4,,5
76,4,,4,,,5,5,,,2,,,,,,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,5,,,,,,,,,
78,5,4,4,4,,5,4,,3,3,3,4,5,3,4,3,4,5,,3,5,,,3,,,5,,,3,4,5,,4,,,,5,,4,4,4,3,5,5,5,,4,,,4,,4,3,3,5,3,,4,,4,5,,4,3,5,,,3,
79,5,0,2,5,2,2,1,2,0,2,3,2,2,2,2,2,5,2,4,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,2,5,2,2,2,2,5,3,4,2,2,4,5,2,2,2,0,2,2,5,2,2,5,2,2,2,5,2,2,2,2,0,2,2,2,2
81,5,5,4,5,2,5,3,2,5,3,5,3,3,0,4,4,5,4,4,5,4,5,5,1,3,1,4,3,1,5,5,5,4,4,,5,5,5,,5,5,5,5,5,5,5,5,5,4,3,5,2,3,4,3,5,4,3,4,3,5,5,3,5,4,5,5,2,5,4
86,,,,,,4,2,,,,,,,,5,,,,,,3,5,3,5,,,3,,,,,,,,5,,,,,,,,,,5,,,5,,1,3,,,,,3,,,5,,,,,4,4,,5,,5,
89,5,3,4,2,2,5,0,2,3,4,5,2,3,3,5,5,5,3,4,4,5,3,4,1,2,2,5,3,3,4,2,5,4,3,5,3,5,3,2,4,5,4,3,4,4,5,3,5,2,4,5,3,3,2,5,,,,,,4,5,3,2,4,3,5,2,4,4
90,3,5,4,4,0,4,0,0,3,5,4,4,2,0,0,5,3,5,4,2,4,5,0,0,0,0,0,0,0,0,4,2,5,0,0,5,1,0,0,0,5,4,3,5,4,4,5,0,3,,5,0,3,0,0,5,0,5,0,0,2,4,0,5,4,4,3,0,2,5
99,4,1,5,2,,,1,,1,5,1,,,0,,5,4,3,3,,5,4,0,3,,3,,2,,4,2,5,,,3,2,5,,,,4,,2,5,5,,,,,,,,,,,,3,,5,3,4,5,,,4,1,1,4,,
104,5,3,1,3,0,3,0,0,5,1,5,1,0,0,3,3,5,0,2,3,4,2,1,2,5,0,0,5,0,5,5,4,4,0,0,4,5,0,0,0,5,4,4,3,4,5,3,0,2,0,5,0,0,0,0,5,5,0,1,5,5,5,0,5,4,5,1,0,1,3
106,3,4,,,,,,,4,3,3,3,3,,,5,4,,,,,,,,3,3,,,,4,,5,,,,,4,,,,4,5,,3,,3,,,,,5,,3,,,,4,3,,,5,,,,,3,,,,
109,3,5,4,3,3,5,4,3,5,5,4,3,3,3,5,5,4,3,4,3,5,4,4,5,3,5,3,3,3,0,4,4,5,4,4,2,5,3,2,2,3,5,4,4,3,4,4,4,3,3,4,4,4,5,4,4,3,5,5,3,4,4,4,5,4,4,4,3,4,5
117,5,4,3,2,0,4,0,0,5,3,5,4,3,2,0,4,5,0,0,3,0,0,5,0,0,0,0,0,0,5,3,5,0,0,0,3,5,0,0,0,5,3,4,2,0,4,5,0,3,0,5,0,4,0,1,0,5,1,0,0,5,5,0,0,0,5,4,0,0,0
124,4,4,1,4,1,5,3,1,3,1,5,1,0,1,4,1,5,5,1,4,3,3,5,3,3,5,3,3,3,4,4,3,3,3,5,5,3,3,3,3,4,4,4,1,3,4,5,5,2,3,5,2,2,4,2,5,5,3,3,3,4,2,2,5,2,4,5,2,5,2
127,3,5,4,4,5,3,1,5,4,3,,,,,,5,2,2,3,1,1,3,3,2,2,2,2,2,2,3,3,4,5,2,2,,,,,,4,5,3,4,1,,,,,,4,5,3,2,1,,,,,,3,4,5,2,1,4,2,5,2,4
143,5,,,,,,5,,,,,,,,5,,5,,,,,,5,,,5,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,5,,,,,,5,,5,
150,3,4,5,1,2,0,4,0,5,3,2,3,4,5,0,5,4,0,1,3,0,0,0,0,0,0,3,0,5,1,1,3,0,4,2,0,0,0,0,0,2,3,0,4,1,4,0,3,2,0,0,0,0,0,0,1,4,3,1,1,3,2,0,1,1,3,1,0,2,0
152,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,5,4,3,4,,5,5,,4,4,5,5,5,4,,4,5,5,4,5,3,,5,,,4,4,5,,5,5,,,4,,5,,,,,5,5,5,4,4,5,5,,4,,5,,4,4,,,5,5,,,5,,,,3,5,5,,,
155,5,2,3,2,,5,5,,2,3,4,4,4,,,2,5,4,,4,4,,,3,,,,,,5,1,5,,,,1,4,5,,3,5,3,4,4,4,5,5,,3,,,,,,,,,,,,5,5,,4,2,4,,,,
156,4,4,3,3,3,3,3,3,4,3,4,5,5,3,3,3,4,3,0,3,3,3,3,3,3,0,0,0,0,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,2,3,4,3,2,3,3,3,3,3,2,3,1,4,0,4,2,0,3,0
158,5,4,3,3,2,4,2,2,5,3,5,1,1,2,3,3,5,1,2,4,2,2,2,2,2,1,1,1,1,5,3,4,2,2,2,3,3,3,2,2,5,4,3,2,2,4,3,4,2,2,5,3,2,3,4,,,,,,,,,,,4,2,3,3,1
166,5,4,3,,,2,1,,3,4,5,4,3,,0,2,4,5,3,2,,,,,,,,,,3,,,,,,,,,,,5,4,,3,,5,3,0,4,2,,,,0,,,,,,,5,,2,2,,5,2,2,0,2
170,5,2,4,3,1,4,2,1,5,3,5,1,2,4,3,3,4,5,2,1,,,5,,,,,,,5,4,5,3,2,1,4,3,5,2,1,5,4,3,2,1,4,3,5,1,2,,,,,,,,,,,5,5,,,,5,5,,5,5
177,5,3,3,4,1,5,2,1,3,3,3,1,3,1,5,4,5,3,4,4,3,4,2,5,3,2,3,3,3,5,1,5,3,3,1,5,4,3,1,3,5,4,4,3,3,5,4,4,3,0,4,1,1,3,2,3,5,3,4,3,4,5,3,3,3,5,3,3,4,3
178,4,3,5,3,4,4,4,4,3,5,3,5,4,4,3,5,4,4,3,4,3,4,5,2,3,3,3,4,4,5,3,5,4,3,4,3,5,4,4,3,4,3,3,5,3,4,3,3,5,4,3,4,5,4,4,3,5,4,4,4,5,3,3,4,4,3,5,2,2,4
181,4,4,4,5,,3,0,,5,4,3,,4,4,,3,4,5,3,2,,,,,,,,,,5,5,4,,,,5,3,,2,,4,4,5,3,,,,,,,,,,,,,,,,,4,3,,,,5,,,,
182,5,,4,,,,5,,4,5,4,3,,,5,4,5,,,,,,5,,,,,,,5,,,,,,,,,,,5,3,,4,,5,,4,3,,3,,4,5,,,5,,,,5,,,,,,4,,5,
183,,3,,,,3,,,3,,3,,,,,,,5,5,3,,,5,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,1,,,,,5,,,,,,,,5,,4,5,,,
186,4,5,5,,,,3,,4,5,5,3,4,,,5,4,,3,2,,,,,,,,4,,5,,5,,,,,5,,,,4,5,,3,,,,,,,,,,,,,,,,,4,5,,,,5,,,,
187,3,4,5,1,1,5,2,1,3,4,3,4,2,5,1,4,3,5,1,2,1,1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,5,1,4,1,1,1,1,5,1,5,1,4,1,3,1,1,5,1,1,3,1,1,1,1,5,4,1,1,1
198,4,5,3,1,0,3,4,1,5,2,1,4,5,3,2,2,4,3,1,5,,,,,,,,,,,,,,,,,,,,,4,5,1,3,2,4,1,2,5,3,4,2,3,5,1,,,,,,,,,,,5,,,,
200,3,5,4,0,0,5,0,0,0,4,5,0,1,0,0,5,3,0,0,4,5,0,4,3,0,0,0,0,0,2,0,5,0,0,0,0,5,0,0,4,2,5,0,3,4,0,0,0,0,0,4,0,0,5,0,0,0,0,5,0,3,5,0,0,4,5,4,0,0,0
201,5,5,5,,,5,,,4,5,5,5,5,5,,5,4,5,,4,,,,,,,,,,5,,5,,,,,5,,,,5,5,,5,,4,,,4,,5,,4,,,,,,,,5,5,,,,5,,,,
206,3,5,5,4,,3,,,5,4,3,5,4,3,,4,5,3,1,2,4,5,3,,,,5,,,4,4,5,,3,,4,5,,,,4,5,3,3,3,4,4,,4,,4,,5,,,,,,,,3,5,,,4,5,4,,,
212,5,4,3,0,0,0,0,0,4,4,4,0,0,0,0,4,5,5,0,0,0,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,4,0,0,0,5,4,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,4,0,0,0
214,3,5,4,2,1,4,2,1,5,3,5,3,2,4,1,2,4,1,5,3,4,3,5,2,1,4,2,1,3,5,3,5,4,1,2,4,5,3,1,2,3,5,1,4,2,4,5,1,3,2,5,2,4,3,1,1,5,3,2,4,3,4,1,2,5,5,4,1,2,3
216,2,5,4,2,4,4,3,4,4,5,5,2,2,4,2,5,2,2,2,4,5,4,2,5,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,4,2,2,2,2,2,5,4,,3,,,,,5,,,,5,,3,5,,4,,
218,4,5,4,0,0,5,3,0,4,3,4,0,3,5,2,3,2,5,1,4,0,0,4,0,0,0,0,0,0,4,4,0,0,0,5,3,0,0,0,0,4,5,4,3,0,4,3,5,0,0,3,0,0,0,4,0,0,0,5,4,4,0,0,0,0,5,4,0,3,0
225,4,5,5,,,,2,,5,5,4,,,,4,5,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,,5,,,3,
235,,4,5,,,,,,4,5,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,5,,,,,,,,,,,,,,,5,,,4,
239,4,5,4,,,,,,4,4,4,5,4,,,4,5,,,,,,,,,,,,,5,,5,,,,,5,,,,4,5,,5,,4,,,5,,5,,5,,,,,,,,4,5,,,,5,,,,
246,5,,,,,,,,,,,,,,5,,5,,,,,,5,,,,,,,5,,,,,,,,,,,5,,,,,4,,5,,,,,,,,,5,,,,5,,,,,,5,,4,
253,,,,,,,,,4,5,5,,1,,,5,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
259,5,5,4,4,1,5,0,2,4,5,5,5,3,5,0,3,5,4,3,2,5,0,4,0,3,,5,,,,5,4,,4,,3,3,0,1,3,5,5,4,3,4,3,4,,5,,5,4,5,0,3,,,,,,5,4,3,0,4,5,4,3,2,0
262,5,4,5,,,3,,,4,5,5,5,4,5,,5,5,4,4,3,,,,,,,,,,5,,,,,,,,5,,,5,5,,4,,4,,,5,,5,,,,,,5,,,,5,,,,,5,,,,
263,5,4,3,3,0,1,3,2,5,4,4,5,3,2,1,4,5,3,2,1,0,0,0,0,0,0,0,0,0,5,4,3,5,3,3,5,4,1,3,2,3,5,4,2,1,3,5,2,4,1,5,0,4,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,4
265,5,,5,,,3,2,,,5,,,,,,5,5,,,3,,,,,,,,,,5,,,,,,,,,,,5,,,5,,5,,,,,5,,,3,,,5,,,,5,,,,,,,,,
267,5,4,4,,,5,3,,4,4,5,,,,,4,5,4,4,3,5,4,3,2,,4,4,3,,5,,5,,,,,5,,,,4,5,,3,3,5,,,,,5,,,4,,,,,5,,4,5,,,3,5,4,,,
269,4,2,5,3,1,3,2,1,4,5,5,2,4,3,1,5,4,0,4,3,,5,4,,,4,,,,5,5,4,3,,,5,4,3,,,3,4,4,5,,5,4,,,,5,,,0,,,5,,,,5,4,,,,3,5,,,
270,4,5,4,,,3,,,5,4,5,3,4,,,4,4,3,,3,,,,,,,,,,5,,,,,,,,,,,4,5,,4,,,,,,,,,,,,,,,,,4,,,,,,,,,
274,4,5,5,5,,,,,5,4,5,4,5,4,5,5,5,,,,,5,,,,,,,,4,5,,,,,5,,,,,5,5,5,5,,4,5,5,3,,5,,,,,,,,,,3,,,,,5,,,5,
276,4,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,4,0,0,0,4,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,5,,4,0,0,0,0,,,,,,,,0,4,,,,,,,,,,,
285,0,0,5,0,0,0,0,0,0,5,0,0,5,0,4,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,4,,5,0
286,5,4,3,4,,5,4,,2,1,3,,,,,4,5,,,4,,,,4,,,,,,2,4,3,,,,3,3,4,,,5,4,5,2,,5,5,,,,5,,,3,4,,5,,4,,5,4,,,,5,,,,
293,5,5,5,,,,,,5,5,4,3,5,,,4,5,,,,3,,4,,,,,,,,,,,,,,,,,5,5,5,,,,5,,,,,5,,5,,,,,,,,,,,,5,4,5,,,
294,5,3,5,5,3,3,,2,2,5,3,2,2,4,2,5,5,5,5,4,3,4,4,3,1,2,2,3,1,4,4,5,2,2,2,5,5,1,1,2,3,2,,5,3,5,4,2,2,2,1,1,1,4,2,2,5,4,2,3,5,5,2,1,3,1,4,1,1,1
296,5,2,4,0,0,5,0,0,4,4,5,0,0,0,0,4,5,2,0,3,0,0,4,5,0,5,,,,4,,5,,,,,5,,,4,4,5,,3,,5,,,,,5,,,,,,3,,5,,5,5,,,,5,3,,,
298,5,4,1,5,1,5,5,,3,,3,4,5,5,4,,5,3,3,3,,,5,,,4,,,,5,5,4,3,,,5,4,,,,5,4,5,,,4,5,2,2,3,,,4,5,,,5,4,,3,5,4,,,,5,4,,3,
308,5,3,5,5,,5,0,,2,4,3,4,,,,5,5,5,3,3,,,5,,,,,5,,4,5,4,,,,5,3,,5,,5,,4,4,,5,2,,2,,,,,,,,,,,,5,5,,,,,5,,,
310,5,5,,5,,4,1,,5,,5,4,4,3,,,5,5,5,4,,,4,4,,4,5,,,,5,5,,5,,5,5,,,,4,4,5,,,,,5,,,,,,,,4,4,,5,,,5,,,,,,,,
311,5,4,2,2,2,1,0,2,4,2,4,2,2,5,2,2,5,1,0,2,2,2,2,2,2,,2,2,2,5,2,5,2,2,2,2,5,2,2,2,5,4,2,2,2,5,2,2,2,2,2,2,2,0,2,2,5,2,2,2,4,5,2,2,2,4,2,2,2,2
312,5,4,5,4,,5,,,5,5,5,4,4,,5,5,5,5,,5,3,5,4,5,,,,,,5,5,5,4,,,5,5,,,,4,5,5,4,3,5,4,5,4,,,,,,,,5,4,5,,5,4,,,3,4,5,,5,3
313,4,,,3,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,0,4,5,0,5,0,0,5,0,0,4,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,4,5,3,0,0,5,4,3,0,0,5,5,0,0,0,5,4,3,0,,,,,,5,5,,,,,,,,,,,,,,,,,,
319,4,5,5,3,2,2,2,2,4,4,5,4,3,3,3,5,5,2,3,3,2,2,3,2,5,3,3,3,5,3,4,5,3,3,3,3,4,3,2,5,4,5,3,4,3,5,5,4,4,3,5,2,4,1,3,2,2,2,2,2,4,5,2,2,2,5,2,3,3,3
320,5,4,3,2,1,3,1,1,5,4,4,3,2,5,1,4,5,2,3,1,3,2,1,4,5,1,1,2,1,5,4,5,1,1,1,4,5,2,1,3,3,4,3,3,5,,,,,,,,,,,,,,,,5,5,1,5,4,5,1,1,1,1
321,3,,5,3,5,,,5,,5,3,0,0,0,0,5,2,0,0,,5,5,,,,,4,4,,3,,5,5,3,,,5,,,,5,,,5,,5,,,,,5,5,,,,,,,,,,5,5,,5,,,5,,5
323,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
324,,,5,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,5,,,,,,
327,5,3,2,1,0,2,0,0,4,3,3,1,1,0,1,3,5,1,1,1,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,1,3,1,2,0,5,4,1,2,0,5,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,2,0,0,0,5,1,0,1,0
328,5,4,4,0,0,4,2,0,5,5,4,4,3,3,0,5,5,5,4,3,,,,,,,,,,5,,5,,,,,5,,,,5,4,,,,5,,,,,,,,,,,,5,,,4,5,,4,,5,,,,
349,4,3,5,3,0,3,3,0,4,5,5,0,4,0,3,5,4,3,1,2,4,4,0,5,0,5,3,0,0,3,5,4,3,2,0,5,3,4,0,0,4,4,4,4,5,3,4,0,0,0,5,0,0,3,0,0,4,3,5,0,4,4,0,0,5,5,3,0,2,4
350,5,4,,3,,3,5,,4,,5,,3,,,,5,,,3,5,,,2,,,5,,,4,5,3,,4,,4,5,3,,2,3,4,5,,2,5,4,,,,5,,,4,,,5,,3,4,4,5,,,2,5,,,,
351,,5,5,,,,,,5,5,5,3,4,,,5,,4,4,,,,,,,,,,,,,2,,,,,3,,,,,5,,5,,,,,3,,5,,,,,,,,,,,,,,,5,,,,
354,5,1,5,0,0,1,4,0,0,5,0,0,0,0,0,5,5,0,2,1,0,0,3,0,0,2,4,5,0,3,0,0,0,5,0,0,0,0,0,0,5,3,0,4,0,4,0,0,0,3,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,1,4,0,0,0
358,4,5,5,1,2,5,1,2,4,3,5,3,0,0,0,5,3,0,0,2,5,0,4,1,0,0,2,0,3,1,0,0,5,2,0,0,0,0,0,5,5,4,0,4,3,0,0,0,0,0,5,0,3,2,0,5,0,0,4,0,3,0,0,5,4,4,3,0,0,5
360,,,4,5,,,3,,,5,,,,,,4,,,,,5,,,,,,,4,,,5,,,,,5,,,,,,,5,4,4,4,4,,,,4,,,,5,4,,,,,,,,3,4,4,,,,
